ID,출생연도,고객_교육수준,고객_결혼여부,고객_소득,고객_자녀수,고객_청소년수,고객_가입날짜,고객_최신구매일_경과기간,고객_와인_구매금액,고객_과일_구매금액,고객_육류_구매금액,고객_생선_구매금액,고객_사탕_구매금액,고객_골드_구매금액,고객_할인품목_구매횟수,고객_회사사이트_통한_구매횟수,고객_카탈로그_통한_구매횟수,고객_매장방문_구매횟수,고객_지난달_회사사이트_방문횟수,캠페인1_수락여부,캠페인2_수락여부,캠페인3_수락여부,캠페인4_수락여부,캠페인5_수락여부,불만제기,target
train_197,1963,학사,기혼,22419.0,0,0,2013-04-18,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0
train_198,1956,고졸,이혼,31395.0,1,1,2013-03-23,80,23,1,25,0,8,7,4,2,1,3,6,0,0,0,0,0,0,0
train_199,1987,박사,미혼,95169.0,0,0,2013-10-09,1,1285,21,449,106,20,20,1,4,3,4,1,1,0,0,0,1,0,1
train_200,1962,석사,기혼,58646.0,0,1,2013-06-10,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0
train_201,1975,박사,기혼,36663.0,1,0,2014-04-25,40,18,0,6,3,3,5,1,1,1,3,2,0,0,0,0,0,0,0
train_202,1988,학사,미혼,20518.0,1,0,2014-05-18,58,4,1,6,4,1,9,1,1,1,2,5,0,0,0,0,0,0,0
train_203,1964,박사,이혼,78825.0,0,0,2012-09-14,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,1
train_204,1949,박사,기혼,80360.0,0,0,2013-03-03,56,1493,86,454,112,43,43,2,4,4,5,2,1,0,0,1,1,0,0
train_205,1951,박사,동거,69702.0,0,1,2013-02-19,8,664,9,240,50,19,57,2,7,7,10,4,0,0,0,0,0,0,0
train_206,1946,학사,동거,82657.0,0,0,2013-09-27,71,966,168,672,246,105,126,1,7,5,10,4,1,0,0,1,0,0,0
train_207,1982,고졸,동거,66664.0,0,0,2012-09-25,78,398,96,447,220,96,32,1,5,7,6,3,0,0,0,0,0,0,0
train_208,1988,학사,미혼,34176.0,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0
train_209,1975,학사,동거,80144.0,0,0,2013-09-30,47,240,132,445,250,192,108,1,3,7,8,1,0,0,0,0,0,0,0
train_210,1969,박사,기혼,94871.0,0,2,2012-09-01,99,169,24,553,188,0,144,1,8,5,4,7,0,0,0,1,1,0,1
train_211,1974,고졸,기혼,45894.0,0,2,2014-02-27,15,27,2,7,0,2,13,1,1,0,3,5,0,0,0,0,0,0,0
train_212,1976,고졸,미혼,79689.0,0,0,2013-05-12,65,311,26,640,180,37,121,1,4,9,13,2,0,0,0,0,0,0,0
train_213,1962,학사,이혼,63887.0,0,1,2012-09-08,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0
train_214,1976,학사,미혼,37697.0,1,0,2014-02-07,82,34,6,21,11,4,8,1,2,1,3,6,0,0,0,0,0,0,0
train_215,1970,학사,동거,105471.0,0,0,2013-01-21,36,1009,181,104,202,21,207,0,9,8,13,3,1,0,0,0,1,0,1
train_216,1981,박사,동거,44953.0,0,0,2012-12-21,31,728,17,133,11,8,124,1,7,3,13,6,0,0,1,0,0,0,0
train_217,1966,초졸_중졸,동거,22634.0,0,0,2013-01-16,47,2,23,11,8,6,46,1,2,1,2,8,0,0,0,0,0,0,0
train_218,1976,석사,동거,30560.0,1,0,2013-06-27,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0
train_219,1964,박사,기혼,65526.0,0,1,2014-04-11,22,397,19,69,12,0,9,1,4,4,8,2,0,0,0,0,0,0,0
train_220,1975,학사,기혼,79205.0,0,0,2012-08-29,73,504,23,117,179,28,44,1,6,5,4,4,1,0,0,0,0,0,1
train_221,1985,고졸,기혼,36145.0,1,0,2013-06-16,13,56,4,76,17,1,18,4,4,1,3,9,0,0,1,0,0,0,1
train_222,1977,학사,미혼,85072.0,0,0,2014-04-09,94,494,92,391,194,11,241,1,3,4,10,0,0,0,0,0,0,0,0
train_223,1981,초졸_중졸,기혼,34445.0,0,0,2013-01-27,92,228,122,122,208,129,30,6,11,2,8,9,0,0,0,0,0,0,0
train_224,1984,학사,미혼,36108.0,1,0,2013-10-15,68,141,8,129,3,11,47,3,7,1,4,9,0,0,1,0,0,0,0
train_225,1958,학사,미혼,94472.0,0,1,2014-04-03,75,1017,33,417,108,100,16,1,5,5,5,5,0,0,0,1,1,0,0
train_226,1972,학사,기혼,30675.0,1,0,2012-11-12,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,0
train_227,1977,학사,동거,33178.0,1,0,2014-01-30,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0
train_228,1970,박사,기혼,59892.0,0,1,2013-11-02,26,73,0,13,0,1,0,1,2,1,3,3,0,0,0,0,0,0,0
train_229,1951,석사,동거,59385.0,1,1,2013-04-28,85,135,0,10,0,4,36,2,3,1,4,5,0,0,0,0,0,0,0
train_230,1958,박사,동거,74250.0,0,0,2014-01-26,90,680,11,392,75,0,0,1,2,11,4,1,0,0,0,0,0,0,0
train_231,1969,박사,미혼,48240.0,0,0,2012-11-09,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1
train_232,1980,초졸_중졸,기혼,16005.0,1,0,2012-08-14,69,1,3,2,20,30,47,3,2,1,2,8,0,0,0,0,0,0,0
train_233,1963,학사,동거,77226.0,0,1,2014-02-28,29,631,43,239,128,76,21,2,6,8,12,3,0,0,0,0,0,0,0
train_234,1972,석사,동거,49854.0,1,0,2013-11-10,63,123,17,171,39,0,30,5,6,2,5,6,0,0,0,0,0,0,0
train_235,1969,학사,이혼,69901.0,0,1,2013-05-29,95,312,21,206,102,92,149,3,7,3,10,5,0,0,0,0,0,0,0
train_236,1981,학사,동거,56386.0,1,1,2012-10-27,51,230,48,214,13,32,75,8,9,1,7,9,0,0,0,0,0,0,0
train_237,1969,학사,기혼,14045.0,1,0,2014-01-26,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0
train_238,1958,학사,기혼,61074.0,0,1,2012-08-17,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,0
train_239,1989,학사,기혼,28691.0,1,0,2013-07-04,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0
train_240,1962,석사,기혼,72828.0,0,1,2013-02-14,17,1205,0,235,19,14,205,6,6,3,13,7,0,0,0,0,0,0,0
train_241,1959,석사,기혼,77520.0,0,1,2013-08-28,30,940,44,396,0,88,58,1,8,7,7,4,1,0,1,0,1,0,1
train_242,1969,박사,사별,62187.0,0,1,2014-03-22,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,0
train_243,1956,학사,이혼,26150.0,2,1,2013-03-11,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0
train_244,1989,학사,미혼,81217.0,0,0,2013-07-19,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0
train_245,1962,박사,기혼,42769.0,0,1,2013-10-12,15,71,0,13,3,1,0,2,1,1,4,4,0,0,0,0,0,0,0
train_246,1964,학사,기혼,58512.0,0,1,2013-09-19,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0
train_247,1970,학사,기혼,22979.0,1,0,2012-09-06,29,16,17,19,20,21,22,3,3,2,2,8,0,0,0,0,0,0,1
train_248,1972,학사,동거,31590.0,1,0,2013-06-18,40,6,2,15,6,6,3,1,1,0,3,8,0,0,0,0,0,0,0
train_249,1971,학사,미혼,58350.0,0,1,2013-01-04,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0
train_250,1982,고졸,동거,41039.0,0,0,2013-07-25,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0
train_251,1949,석사,기혼,81698.0,0,0,2013-11-06,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1
train_252,1978,,미혼,7500.0,1,1,2012-12-27,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0
train_253,1984,석사,미혼,31385.0,1,0,2012-12-05,56,3,2,12,0,1,9,1,1,0,2,8,0,0,1,0,0,0,1
train_254,1956,석사,미혼,64857.0,0,0,2012-11-23,78,556,14,717,210,0,43,1,7,5,10,4,0,0,0,0,0,0,0
train_255,1970,학사,미혼,20587.0,1,0,2014-05-11,39,2,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0,0
train_256,1976,고졸,동거,26907.0,1,1,2013-08-20,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,0,0
train_257,1986,학사,기혼,25252.0,1,0,2013-07-12,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0
train_258,1974,석사,기혼,83891.0,0,1,2014-06-20,24,217,38,350,111,85,15,1,4,7,10,1,0,0,0,0,0,0,0
train_259,1976,석사,동거,30560.0,1,0,2013-06-27,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0
train_260,1971,석사,이혼,42835.0,1,1,2013-06-30,64,379,4,93,12,9,98,7,6,6,4,6,0,0,0,0,0,0,0
train_261,1973,박사,,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,0,0,1,0,0,0,1
train_262,1982,학사,기혼,79908.0,0,0,2013-04-05,30,557,129,761,29,185,111,1,5,6,7,2,0,0,0,0,1,0,0
train_263,1952,석사,미혼,8820.0,1,1,2013-03-22,52,12,0,13,4,2,4,4,3,0,3,8,0,0,0,0,0,0,0
train_264,1961,학사,기혼,79410.0,0,0,2014-05-29,19,658,80,483,123,13,13,1,3,2,5,1,0,0,0,0,0,0,0
train_265,1960,학사,기혼,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0
train_266,1980,고졸,기혼,70829.0,1,1,2013-12-01,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,0
train_267,1970,석사,동거,,0,1,2013-04-01,39,187,5,65,26,20,14,2,4,2,6,5,0,0,0,0,0,0,0
train_268,1956,학사,사별,46984.0,1,1,2013-03-26,71,19,1,10,2,1,8,1,1,0,3,5,0,0,0,0,0,0,0
train_269,1976,학사,기혼,5305.0,0,1,2013-07-30,12,12,4,7,1,3,5,0,1,0,0,13,0,0,0,0,0,0,0
train_270,1952,학사,미혼,44213.0,1,1,2013-11-29,48,95,11,35,0,4,7,4,2,1,5,6,0,0,0,0,0,0,0
train_271,1954,석사,동거,,0,1,2013-06-23,83,161,0,22,0,0,24,2,4,1,4,6,0,0,0,0,0,0,0
train_272,1968,석사,동거,32889.0,1,1,2013-09-06,78,28,0,13,4,2,8,3,2,1,3,5,0,0,0,0,0,0,0
train_273,1990,박사,기혼,74214.0,0,0,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0
train_274,1953,학사,미혼,40464.0,0,1,2013-01-11,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,0
train_275,1969,학사,미혼,30822.0,1,0,2013-06-14,92,3,9,13,2,12,12,1,1,0,3,7,0,0,0,0,0,0,0
train_276,1965,학사,동거,33456.0,1,1,2014-04-21,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0
train_277,1993,학사,미혼,72354.0,0,0,2013-04-17,67,315,26,473,220,12,182,1,2,10,6,1,0,0,0,0,0,0,0
train_278,1966,학사,미혼,86358.0,1,1,2012-08-08,78,957,47,494,82,47,95,4,5,3,6,8,0,0,0,0,0,0,0
train_279,1951,학사,기혼,71107.0,0,1,2013-02-17,61,533,10,217,198,174,195,2,7,6,13,4,0,0,0,0,0,0,0
train_280,1983,고졸,미혼,81698.0,0,0,2013-03-01,1,709,45,115,30,160,45,1,8,2,5,5,1,0,0,0,0,0,1
train_281,1972,학사,기혼,69209.0,0,0,2012-09-17,4,496,32,849,229,48,128,2,5,3,6,4,1,0,0,0,0,0,0
train_282,1947,박사,사별,68117.0,0,1,2013-03-10,80,618,44,215,0,17,36,2,11,8,4,6,0,0,1,0,0,0,1
train_283,1964,박사,미혼,61798.0,0,0,2013-11-23,13,338,4,89,11,8,13,1,4,2,9,4,0,0,0,0,0,0,0
train_284,1968,석사,기혼,70777.0,0,1,2014-02-25,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,0
train_285,1988,학사,동거,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0
train_286,1962,학사,이혼,46102.0,2,1,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0
train_287,1978,학사,동거,28587.0,1,0,2014-02-12,42,22,4,17,12,10,13,3,2,0,4,6,0,0,0,0,0,0,0
train_288,1963,석사,이혼,48721.0,1,1,2013-05-13,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0
train_289,1948,학사,기혼,42192.0,0,0,2013-09-06,40,40,15,15,17,6,7,1,2,1,3,4,0,0,0,0,0,0,0
train_290,1971,석사,기혼,49505.0,1,1,2013-03-05,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0
train_291,1969,학사,미혼,72679.0,0,1,2013-09-18,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0
train_292,1971,학사,기혼,52531.0,0,0,2012-12-30,68,283,112,151,51,72,125,2,7,2,10,6,0,0,0,0,0,0,0
train_293,1979,학사,미혼,60474.0,0,1,2013-04-01,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0
train_294,1975,박사,동거,56559.0,0,1,2012-12-25,46,226,22,133,41,31,31,3,4,3,8,4,0,0,0,0,0,0,0
train_295,1949,학사,사별,70165.0,0,0,2013-09-22,60,161,0,253,199,191,122,1,3,7,11,1,0,0,0,0,0,0,0
train_296,1948,학사,기혼,92344.0,0,0,2014-01-15,9,992,24,694,51,19,119,0,5,10,5,1,0,0,1,0,1,0,0
train_297,1974,학사,미혼,43322.0,0,0,2014-04-21,25,56,7,48,10,2,18,1,3,0,4,7,0,0,0,0,0,0,0
train_298,1963,학사,기혼,22419.0,0,0,2013-04-18,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0
train_299,1950,석사,이혼,38054.0,1,1,2014-05-01,24,23,2,17,2,1,0,2,2,0,3,7,0,0,0,0,0,0,0
train_300,1978,고졸,기혼,12393.0,0,0,2012-12-04,38,5,6,15,11,7,13,1,2,0,3,9,0,0,0,0,0,0,0
train_301,1978,석사,기혼,43783.0,1,0,2014-05-29,22,327,9,125,25,4,139,6,7,1,8,7,0,0,1,0,0,0,0
train_302,1969,학사,사별,40590.0,1,1,2013-10-02,30,154,0,50,6,11,37,5,3,4,3,6,0,0,1,0,0,0,0
train_303,1975,석사,동거,17459.0,1,0,2013-09-19,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1
train_304,1978,고졸,기혼,47025.0,0,1,2013-09-12,98,508,11,59,23,5,29,5,11,1,6,9,0,0,0,0,0,0,0
train_305,1965,고졸,기혼,46891.0,0,1,2013-09-01,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0
train_306,1989,석사,동거,88420.0,0,0,2014-05-02,87,957,153,612,99,95,153,1,4,7,8,1,1,0,1,0,1,0,0
train_307,1988,학사,기혼,68487.0,0,0,2013-01-13,48,758,12,385,33,89,89,1,9,7,13,4,0,0,0,0,0,0,0
train_308,1968,박사,기혼,29187.0,1,0,2013-05-09,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0
train_309,1983,학사,동거,22010.0,1,0,2013-06-30,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,0
train_310,1986,고졸,기혼,21955.0,1,0,2013-09-07,81,5,1,7,17,14,11,2,2,1,3,6,0,0,0,0,0,0,0
train_311,1972,학사,미혼,72504.0,0,1,2013-04-06,43,604,26,470,123,161,94,2,5,9,6,2,0,0,0,0,0,0,0
train_312,1977,학사,이혼,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,1,0,0,0,1
train_313,1966,석사,동거,49618.0,1,1,2013-01-26,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0
train_314,1967,학사,기혼,22574.0,2,1,2013-10-28,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0
train_315,1965,학사,기혼,69139.0,0,1,2014-01-27,23,86,12,75,33,15,6,1,4,1,5,4,0,0,0,0,0,0,0
train_316,1963,박사,이혼,41003.0,0,0,2013-03-17,11,123,133,142,71,44,88,1,6,2,8,6,0,0,0,0,0,0,0
train_317,1973,석사,동거,,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0
train_318,1965,학사,동거,83003.0,0,0,2013-03-03,18,856,61,570,40,25,122,1,7,6,8,3,0,0,0,0,1,0,1
train_319,1957,박사,기혼,37633.0,1,1,2012-09-20,49,13,4,20,0,0,1,2,1,0,3,9,0,0,0,0,0,0,0
train_320,1970,학사,기혼,13260.0,1,1,2013-08-23,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0
train_321,1974,박사,미혼,30899.0,1,0,2012-10-13,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0
train_322,1974,학사,미혼,42373.0,1,1,2013-08-15,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,0
train_323,1976,박사,미혼,42473.0,1,1,2014-02-17,72,93,1,21,0,4,25,3,2,1,4,5,0,0,0,0,0,0,0
train_324,1987,학사,이혼,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0
train_325,1982,학사,기혼,22448.0,1,0,2014-02-26,86,3,1,8,23,2,18,3,2,1,3,3,0,0,0,0,0,0,0
train_326,1947,학사,동거,74485.0,0,0,2013-08-24,58,499,149,815,173,49,49,1,6,7,12,3,0,0,0,0,0,0,0
train_327,1984,박사,미혼,82733.0,0,0,2013-09-10,28,712,50,420,65,38,38,1,8,4,7,4,0,0,0,0,0,0,1
train_328,1955,학사,동거,42586.0,1,1,2012-10-29,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,0,1
train_329,1958,학사,동거,53977.0,0,1,2013-06-08,21,620,16,165,0,24,82,5,5,5,12,5,0,0,0,0,0,0,0
train_330,1965,학사,기혼,59594.0,0,1,2012-10-20,74,457,4,29,0,0,9,1,8,1,7,7,0,0,0,1,0,0,0
train_331,1961,학사,이혼,27215.0,2,1,2013-01-23,50,30,5,22,8,9,28,4,2,1,4,6,0,0,0,0,0,0,0
train_332,1976,학사,기혼,65991.0,0,1,2012-09-07,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,0
train_333,1982,박사,동거,32313.0,1,0,2013-02-11,60,86,4,56,2,4,7,3,4,0,4,9,0,0,0,0,0,0,0
train_334,1954,석사,기혼,45736.0,0,1,2013-07-24,92,188,3,180,20,3,43,5,7,1,6,7,0,0,0,0,0,0,0
train_335,1961,박사,미혼,84865.0,0,0,2013-05-09,1,1248,16,349,43,16,16,1,2,4,9,4,1,1,0,1,1,0,1
train_336,1971,고졸,기혼,54690.0,1,1,2013-11-07,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0
train_337,1983,학사,기혼,39922.0,1,0,2013-02-14,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0
train_338,1945,박사,미혼,113734.0,0,0,2014-05-28,9,6,2,3,1,262,3,0,27,0,0,1,0,0,0,0,0,0,0
train_339,1982,석사,기혼,43815.0,1,0,2013-04-05,53,14,10,29,4,7,15,1,2,0,3,6,0,0,0,0,0,0,0
train_340,1983,학사,동거,39453.0,1,0,2014-04-03,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0
train_341,1980,고졸,동거,14515.0,1,0,2012-11-09,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,1
train_342,1964,박사,기혼,45759.0,1,1,2013-02-23,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0
train_343,1983,학사,기혼,25271.0,1,0,2012-12-05,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0
train_344,1982,,동거,61416.0,0,0,2013-02-08,25,848,154,323,201,61,78,1,10,3,10,6,0,0,1,0,0,0,0
train_345,1975,학사,미혼,55801.0,1,1,2013-09-22,35,367,4,51,6,4,95,6,7,2,6,7,1,0,0,0,0,0,0
train_346,1960,초졸_중졸,사별,22123.0,0,0,2014-03-27,77,3,3,24,34,7,31,1,2,1,3,5,0,0,0,0,0,0,0
train_347,1984,학사,기혼,72570.0,0,0,2014-04-25,67,274,83,216,151,141,224,1,4,6,12,1,0,0,0,0,0,0,0
train_348,1975,고졸,동거,19789.0,1,0,2013-11-20,24,2,5,9,28,6,28,3,2,1,3,5,0,0,1,0,0,0,0
train_349,1965,학사,미혼,69263.0,0,1,2014-03-05,14,492,5,32,13,5,21,1,9,1,7,6,0,0,0,1,0,0,0
train_350,1972,석사,미혼,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0
train_351,1949,석사,기혼,36408.0,1,1,2013-09-21,11,9,1,4,3,2,3,1,1,0,2,6,0,0,0,0,0,0,0
train_352,1979,,기혼,71626.0,0,0,2012-11-01,94,546,72,376,94,145,72,1,5,5,8,3,0,0,0,1,0,0,0
train_353,1975,석사,동거,53253.0,1,1,2013-02-11,61,216,9,57,20,9,125,7,4,3,5,5,0,0,0,0,0,0,0
train_354,1982,학사,동거,71853.0,0,0,2013-05-08,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0
train_355,1950,박사,이혼,42873.0,1,1,2013-01-21,11,209,0,40,3,2,15,4,6,1,4,8,0,0,0,0,0,0,0
train_356,1960,박사,이혼,50611.0,0,1,2012-10-04,98,459,0,24,6,0,4,6,4,5,7,6,0,0,0,1,0,0,0
train_357,1978,고졸,동거,38702.0,1,0,2013-08-01,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0
train_358,1969,석사,동거,65176.0,0,1,2012-10-29,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,0
train_359,1976,박사,이혼,66476.0,0,1,2013-03-07,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0
train_360,1990,학사,미혼,64509.0,0,0,2013-08-17,19,836,185,575,24,25,77,1,6,3,9,4,0,0,1,0,0,0,1
train_361,1974,박사,동거,79632.0,0,0,2014-04-08,42,471,0,510,99,21,12,1,6,4,9,2,0,0,0,0,0,0,0
train_362,1972,석사,기혼,37787.0,1,0,2013-09-20,50,40,1,40,4,3,18,1,3,0,3,8,0,0,0,0,0,0,0
train_363,1986,학사,동거,34728.0,1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,0,1
train_364,1965,석사,미혼,35791.0,2,1,2013-05-06,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0
train_365,1955,석사,미혼,51124.0,1,1,2013-12-18,79,26,1,11,0,1,4,2,1,0,3,3,0,0,0,0,0,0,0
train_366,1971,박사,기혼,37126.0,1,0,2014-03-30,9,45,3,9,4,4,7,1,1,2,2,6,0,0,1,0,0,0,1
train_367,1991,학사,미혼,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,0,0,1,1,0,1
train_368,1968,박사,기혼,36778.0,1,1,2012-08-05,63,29,4,34,2,4,4,3,3,0,3,9,0,0,0,0,0,0,0
train_369,1976,학사,이혼,31859.0,1,0,2013-06-14,77,3,1,3,8,0,5,1,1,0,2,7,0,0,0,0,0,0,0
train_370,1978,학사,기혼,77583.0,0,0,2014-02-10,93,372,23,384,250,12,108,1,4,5,9,2,1,0,0,0,0,0,0
train_371,1956,석사,기혼,62058.0,0,1,2013-05-26,52,301,7,74,10,0,58,4,6,1,7,6,0,0,0,0,0,0,0
train_372,1964,박사,기혼,65526.0,0,1,2014-04-11,22,397,19,69,12,0,9,1,4,4,8,2,0,0,0,0,0,0,0
train_373,1950,학사,동거,60905.0,0,1,2013-12-05,27,208,17,76,36,17,38,2,3,3,7,2,0,0,0,0,0,0,0
train_374,1989,박사,동거,77845.0,0,0,2014-05-16,40,760,40,480,0,40,26,1,3,5,12,1,1,0,0,0,1,0,0
train_375,1953,학사,기혼,50725.0,0,1,2013-02-13,45,443,10,75,0,10,48,4,8,1,8,8,0,0,0,0,0,0,0
train_376,1984,고졸,동거,32414.0,0,0,2013-07-04,11,20,6,5,0,9,12,1,1,0,3,7,0,0,1,0,0,0,0
train_377,1970,학사,이혼,58710.0,0,1,2013-03-31,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0
train_378,1974,석사,이혼,53367.0,1,1,2013-08-31,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,0,1
train_379,1974,학사,기혼,60093.0,0,1,2013-06-26,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0
train_380,1980,학사,미혼,81741.0,0,0,2013-06-16,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0
train_381,1985,학사,동거,54006.0,1,0,2012-09-18,42,174,77,203,6,24,97,2,8,1,7,7,0,0,0,0,0,0,0
train_382,1978,학사,동거,25851.0,1,0,2013-02-11,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0
train_383,1958,학사,미혼,45160.0,1,1,2014-03-29,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0
train_384,1968,고졸,기혼,48985.0,0,1,2013-07-05,13,19,13,18,10,7,8,1,1,1,3,3,0,0,0,0,0,0,0
train_385,1964,학사,이혼,69932.0,0,1,2013-06-12,97,412,172,153,150,105,57,2,7,6,11,4,0,0,0,0,0,0,0
train_386,1986,초졸_중졸,기혼,20425.0,1,0,2012-10-29,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0
train_387,1975,학사,사별,58330.0,0,1,2013-12-25,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0
train_388,1966,학사,기혼,44794.0,0,1,2014-06-08,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0
train_389,1968,학사,미혼,75922.0,0,0,2013-12-09,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0
train_390,1969,석사,미혼,62772.0,0,1,2013-05-19,74,581,49,157,43,8,108,1,5,6,11,2,0,0,0,1,0,0,0
train_391,1975,석사,미혼,81169.0,0,0,2013-04-14,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0
train_392,1978,학사,동거,42011.0,1,0,2013-03-26,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0
train_393,1959,학사,기혼,58113.0,0,1,2013-01-25,66,221,104,169,102,78,84,3,9,2,8,7,0,0,0,0,0,1,0
train_394,1966,학사,이혼,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1
train_395,1978,고졸,미혼,52195.0,2,1,2014-05-12,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0
train_396,1948,박사,기혼,34469.0,1,1,2014-05-04,58,19,6,20,0,5,12,3,1,1,4,4,0,0,0,0,0,0,0
train_397,1986,학사,기혼,71952.0,1,0,2013-01-10,93,656,80,455,52,107,93,2,8,4,8,4,0,0,1,0,1,0,0
train_398,1960,박사,기혼,77037.0,0,1,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0
